IL SUPERMERCATO HA APERTO IL 10-07-2020  ALLE 15:55:24

| ID CLIENTE: 30 | N. PRODOTTI ACQUISTATI: 61 | TEMPO TOT SUPERMERCATO: 1.328 s | TEMPO TOT SPESO IN CODA: 1.262 s | N. CODE VISTE: 1 |
| ID CLIENTE: 42 | N. PRODOTTI ACQUISTATI: 30 | TEMPO TOT SUPERMERCATO: 19.516 s | TEMPO TOT SPESO IN CODA: 19.342 s | N. CODE VISTE: 2 |
| ID CLIENTE: 37 | N. PRODOTTI ACQUISTATI: 86 | TEMPO TOT SUPERMERCATO: 15.405 s | TEMPO TOT SPESO IN CODA: 15.361 s | N. CODE VISTE: 1 |
| ID CLIENTE: 23 | N. PRODOTTI ACQUISTATI: 74 | TEMPO TOT SUPERMERCATO: 11.166 s | TEMPO TOT SPESO IN CODA: 11.054 s | N. CODE VISTE: 1 |
| ID CLIENTE: 44 | N. PRODOTTI ACQUISTATI: 46 | TEMPO TOT SUPERMERCATO: 14.477 s | TEMPO TOT SPESO IN CODA: 14.287 s | N. CODE VISTE: 1 |
| ID CLIENTE: 34 | N. PRODOTTI ACQUISTATI: 60 | TEMPO TOT SUPERMERCATO: 19.356 s | TEMPO TOT SPESO IN CODA: 19.157 s | N. CODE VISTE: 1 |
| ID CLIENTE: 36 | N. PRODOTTI ACQUISTATI: 20 | TEMPO TOT SUPERMERCATO: 13.669 s | TEMPO TOT SPESO IN CODA: 13.515 s | N. CODE VISTE: 1 |
| ID CLIENTE: 28 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 10.733 s | TEMPO TOT SPESO IN CODA: 10.627 s | N. CODE VISTE: 1 |
| ID CASSA: 2 | N. PROD. ELAB.: 1704 | N. Clienti: 34 | TEMPO TOT: 34.834 s | TEMPO MEDIO: 1.025 s | N. CHIUSURE: 1 |
| ID CLIENTE: 31 | N. PRODOTTI ACQUISTATI: 33 | TEMPO TOT SUPERMERCATO: 19.269 s | TEMPO TOT SPESO IN CODA: 19.125 s | N. CODE VISTE: 1 |
| ID CLIENTE: 29 | N. PRODOTTI ACQUISTATI: 30 | TEMPO TOT SUPERMERCATO: 14.014 s | TEMPO TOT SPESO IN CODA: 13.840 s | N. CODE VISTE: 1 |
| ID CLIENTE: 4 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 14.141 s | TEMPO TOT SPESO IN CODA: 14.018 s | N. CODE VISTE: 1 |
| ID CLIENTE: 47 | N. PRODOTTI ACQUISTATI: 12 | TEMPO TOT SUPERMERCATO: 12.069 s | TEMPO TOT SPESO IN CODA: 11.910 s | N. CODE VISTE: 1 |
| ID CLIENTE: 32 | N. PRODOTTI ACQUISTATI: 70 | TEMPO TOT SUPERMERCATO: 19.796 s | TEMPO TOT SPESO IN CODA: 19.655 s | N. CODE VISTE: 1 |
| ID CLIENTE: 18 | N. PRODOTTI ACQUISTATI: 54 | TEMPO TOT SUPERMERCATO: 20.355 s | TEMPO TOT SPESO IN CODA: 20.230 s | N. CODE VISTE: 1 |
| ID CLIENTE: 17 | N. PRODOTTI ACQUISTATI: 94 | TEMPO TOT SUPERMERCATO: 13.822 s | TEMPO TOT SPESO IN CODA: 13.783 s | N. CODE VISTE: 1 |
| ID CLIENTE: 21 | N. PRODOTTI ACQUISTATI: 33 | TEMPO TOT SUPERMERCATO: 19.670 s | TEMPO TOT SPESO IN CODA: 19.473 s | N. CODE VISTE: 1 |
| ID CLIENTE: 30 | N. PRODOTTI ACQUISTATI: 60 | TEMPO TOT SUPERMERCATO: 20.695 s | TEMPO TOT SPESO IN CODA: 20.496 s | N. CODE VISTE: 1 |
| ID CLIENTE: 38 | N. PRODOTTI ACQUISTATI: 90 | TEMPO TOT SUPERMERCATO: 15.612 s | TEMPO TOT SPESO IN CODA: 15.519 s | N. CODE VISTE: 1 |
| ID CLIENTE: 5 | N. PRODOTTI ACQUISTATI: 17 | TEMPO TOT SUPERMERCATO: 18.515 s | TEMPO TOT SPESO IN CODA: 18.334 s | N. CODE VISTE: 1 |
| ID CLIENTE: 43 | N. PRODOTTI ACQUISTATI: 6 | TEMPO TOT SUPERMERCATO: 17.860 s | TEMPO TOT SPESO IN CODA: 17.828 s | N. CODE VISTE: 1 |
| ID CASSA: 1 | N. PROD. ELAB.: 1938 | N. Clienti: 43 | TEMPO TOT: 39.835 s | TEMPO MEDIO: 0.926 s | N. CHIUSURE: 1 |
| ID CLIENTE: 1 | N. PRODOTTI ACQUISTATI: 27 | TEMPO TOT SUPERMERCATO: 15.940 s | TEMPO TOT SPESO IN CODA: 15.817 s | N. CODE VISTE: 1 |
| ID CASSA: 5 | N. PROD. ELAB.: 1833 | N. Clienti: 30 | TEMPO TOT: 37.860 s | TEMPO MEDIO: 1.262 s | N. CHIUSURE: 1 |

STATISTICHE GENERALI DEL SUPERMERCATO DEL GIORNO 10-07-2020, CHIUSO ALLE 15:56:05:
| N. CLIENTI TOTALI SERVITI: 147 |N. PRODOTTI TOTALI ACQUISTATI: 8082 |
